vereador;tipo;numero;data;ementa;url
"CLAUDEMIR DOMINGUES CORTEZ";"Emenda a Projeto de Lei";"1 ao Projeto de Lei Nº 28/2026";"20/08/2026";"Emenda ao Projeto de Lei Nº 28/2026 - Institui o ‘Programa Municipal Remédio em Casa’, que regulamenta a entrega domiciliar de medicamentos da Farmácia Municipal aos usuários do SUS com dificuldade de locomoção";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"135/2026";"31/08/2026";"Solicita ao Executivo estudar a abertura de uma ligação entre a Avenida Luiza Gava Zotelle até a Rua Antonio Novoletto, no bairro de Santa Luzia.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"134/2026";"31/08/2026";"Solicita ao Executivo providenciar a dedetização das bocas de lobo dos bairros do Recreio e Santa Luzia, aí incluídos o Jardim Panorama e o Santa Rita.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"117/2026";"06/08/2026";"Solicita ao Executivo estudar a possibilidade de implantar uma academia ao ar livre no Jardim Panorama, bairro de Santa Luzia.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"116/2026";"06/08/2026";"Solicita ao Executivo que providencie a execução do serviço de se molhar as ruas do bairro dos Alves de forma constante.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"113/2026";"03/08/2026";"Solicita ao Executivo providenciar a implantação de uma área de lazer e quadra de futsal, na Rua Alberto Zotelle, no bairro de Santa Luzia.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"104/2026";"20/07/2026";"Solicita ao Executivo providenciar a implantação de uma faixa elevada na altura do número 266 da Rua Cezira Chitolina Siviero, no bairro de Santa Luzia.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"103/2026";"20/07/2026";"Solicita ao Executivo providenciar a execução de serviço de recape da Rua Ângelo Ré, no bairro do Recreio.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"101/2026";"08/07/2026";"Solicita ao Executivo providenciar com urgência a execução de serviço de desentupimento de bueiro situado defronte ao número 123 da Rua Caetano Vicentin, no Jardim Elite, bairro de Santa Luzia.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
"CLAUDEMIR DOMINGUES CORTEZ";"";"98/2026";"06/07/2026";"Solicita ao Executivo providenciar a pintura externa do prédio do posto de saúde do bairro de Santa Luzia, bem como, no mesmo local, também na área externa. instalar bancos de concreto.";"https://charqueada.siscam.com.br/Vereadores/Proposituras/223"
